,stereo-name,orig-name,ext-stereo-smiles,stereo-smiles,chi,orig-inchi,charge,mult
434,IC5D1T3-1V-Z,IC5D1T3-1V,[H]/[C]=C(C)\C#C,[H]/[C]=C(C)\C#C,"AMChI=1/C5H5/c1-4-5(2)3/h1-2H,3H3/b5-2-","InChI=1S/C5H5/c1-4-5(2)3/h1-2H,3H3",0,2
435,IC5D1T3-1V-E,IC5D1T3-1V,[H]/[C]=C(C)/C#C,[H]/[C]=C(C)/C#C,"AMChI=1/C5H5/c1-4-5(2)3/h1-2H,3H3/b5-2+","InChI=1S/C5H5/c1-4-5(2)3/h1-2H,3H3",0,2
436,IC5D1T3-4J,IC5D1T3-4J,[C]#CC(=C)C,[C]#CC(=C)C,"InChI=1S/C5H5/c1-4-5(2)3/h2H2,3H3","InChI=1S/C5H5/c1-4-5(2)3/h2H2,3H3",0,2
437,IC5T1,IC5T1,C#CC(C)C,C#CC(C)C,"InChI=1S/C5H8/c1-4-5(2)3/h1,5H,2-3H3","InChI=1S/C5H8/c1-4-5(2)3/h1,5H,2-3H3",0,1
438,IC5T1-3,IC5T1-3,[CH]=C=C(C)C,[CH]=C=C(C)C,"InChI=1S/C5H7/c1-4-5(2)3/h1H,2-3H3","InChI=1S/C5H7/c1-4-5(2)3/h1H,2-3H3",0,2
439,IC5T1-4-A0,IC5T1-4,C#C[C@@H]([CH2])C,C#C[C@@H]([CH2])C,"InChI=1S/C5H7/c1-4-5(2)3/h1,5H,2H2,3H3/t5-/m0/s1","InChI=1S/C5H7/c1-4-5(2)3/h1,5H,2H2,3H3",0,2
440,IC5T1-4-A1,IC5T1-4,C#C[C@H]([CH2])C,C#C[C@H]([CH2])C,"InChI=1S/C5H7/c1-4-5(2)3/h1,5H,2H2,3H3/t5-/m1/s1","InChI=1S/C5H7/c1-4-5(2)3/h1,5H,2H2,3H3",0,2
441,P13DE1J-ZZ,P13DE1J,[H]/[C]=C\C=C/C,[H]/[C]=C\C=C/C,"AMChI=1/C5H7/c1-3-5-4-2/h1,3-5H,2H3/b3-1-,5-4-","InChI=1S/C5H7/c1-3-5-4-2/h1,3-5H,2H3",0,2
442,P13DE1J-ZE,P13DE1J,[H]/[C]=C\C=C\C,[H]/[C]=C\C=C\C,"AMChI=1/C5H7/c1-3-5-4-2/h1,3-5H,2H3/b3-1-,5-4+","InChI=1S/C5H7/c1-3-5-4-2/h1,3-5H,2H3",0,2
443,P13DE1J-EZ,P13DE1J,[H]/[C]=C/C=C\C,[H]/[C]=C/C=C\C,"AMChI=1/C5H7/c1-3-5-4-2/h1,3-5H,2H3/b3-1+,5-4-","InChI=1S/C5H7/c1-3-5-4-2/h1,3-5H,2H3",0,2
444,P13DE1J-EE,P13DE1J,[H]/[C]=C/C=C/C,[H]/[C]=C/C=C/C,"AMChI=1/C5H7/c1-3-5-4-2/h1,3-5H,2H3/b3-1+,5-4+","InChI=1S/C5H7/c1-3-5-4-2/h1,3-5H,2H3",0,2
445,BC5H9-C,BC5H9-C,C[C]=C(C)C,C[C]=C(C)C,InChI=1S/C5H9/c1-4-5(2)3/h1-3H3,InChI=1S/C5H9/c1-4-5(2)3/h1-3H3,0,2
446,C6H7-2-ZZ,C6H7-2,C=[C]/C=/C\C=\C,C=[C]/C=C\C=C,"AMChI=1/C6H7/c1-3-5-6-4-2/h4-6H,1-2H2/b6-4-,6-5-","InChI=1S/C6H7/c1-3-5-6-4-2/h3,5-6H,1-2H2",0,2
447,C6H7-2-ZE,C6H7-2,C=[C]/C=/C/C=\C,C=[C]/C=C/C=C,"AMChI=1/C6H7/c1-3-5-6-4-2/h4-6H,1-2H2/b6-4-,6-5+","InChI=1S/C6H7/c1-3-5-6-4-2/h3,5-6H,1-2H2",0,2
448,C6H7-2-EZ,C6H7-2,C=[C]/C=/C\C=/C,C=[C]/C=C\C=C,"AMChI=1/C6H7/c1-3-5-6-4-2/h4-6H,1-2H2/b6-4+,6-5-","InChI=1S/C6H7/c1-3-5-6-4-2/h3,5-6H,1-2H2",0,2
449,C6H7-2-EE,C6H7-2,C=[C]/C=/C/C=/C,C=[C]/C=C/C=C,"AMChI=1/C6H7/c1-3-5-6-4-2/h4-6H,1-2H2/b6-4+,6-5+","InChI=1S/C6H7/c1-3-5-6-4-2/h3,5-6H,1-2H2",0,2
